ident,name,latitude_deg,longitude_deg,elevation_ft
K00,Hall Airport,32.513699,-96.236902,440
K00C,Animas Air Park,37.203201293899994,-107.869003296,6684
K00F,Broadus Airport,45.47249985,-105.4540024,3280
K00M,Thigpen Field,31.953800201416,-89.234497070312,351
K00R,Livingston Municipal Airport,30.685899734497,-95.01789855957,151
K00V,Meadow Lake Airport,38.9458007812,-104.569999695,6874
K01,Farington Field,40.38750076293945,-95.78919982910156,932
K01G,Perry-Warsaw Airport,42.7412986755,-78.0521011353,1559
K01M,Tishomingo County Airport,34.49169921875,-88.201103210449,578
K02A,Chilton County Airport / Gragg-Wade Field,32.8504981995,-86.6113967896,585
K02C,Capitol Airport,43.0902222222,-88.1781602778,850
K02G,Columbiana County Airport,40.673301696777,-80.641403198242,1160
K03,Long Lake Sagamore Seaplane Base & Marina,43.968951,-74.428772,1629
K03B,Mansfield Municipal Airport,37.1278,-92.621,1500
K03D,Memphis Memorial Airport,40.447299957275,-92.226997375488,813
K04A,Frank Sikes Airport,31.7363,-86.262497,300
K04G,Lansdowne Airport,41.130501,-80.619598,1044
K04M,Calhoun County Airport,33.930099,-89.342795,383
K04Y,Hawley Municipal Airport,46.883801,-96.350304,1208
K05C,Griffith-Merrillville Airport,41.519798,-87.399498,634
K05D,New Town Municipal Airport,47.966996,-102.477997,1925
K05U,Eureka Airport,39.604198455799995,-116.004997253,5954
K06A,Moton Field Municipal Airport,32.460499,-85.680002,264
K06C,Schaumburg Regional Airport,41.9892997742,-88.1011962891,801
K06D,Rolla Municipal Airport,48.8843,-99.620903,1823
K06M,Eupora Airport,33.534599,-89.312598,450
K06U,Jackpot Airport/Hayden Field,41.97600173949999,-114.657997131,5213
K07,Rolla Downtown Airport,37.935699462890625,-91.8134994506836,987
K07A,Franklin Field,32.166801,-85.809702,300
K07F,Gladewater Municipal Airport,32.528801,-94.971702,296
K07R,Bishop Municipal Airport,27.6103,-97.751902,55
K07V,Cuchara Valley At La Veta Airport,37.5238,-105.009002,7153
K08,Holly Airport,38.03329849243164,-102.11699676513672,3390
K08A,Wetumpka Municipal Airport,32.5293998718,-86.32820129390001,197
K08C,Riverview Airport,42.9359016418457,-85.80500030517578,603
K08D,Stanley Municipal Airport,48.30080032348633,-102.40599822998047,2245
K08K,Harvard State Airport,40.65140151977539,-98.07980346679688,1815
K08M,Carthage-Leake County Airport,32.7611999512,-89.53009796139999,454
